episode,epsilon,episode_return,moving_avg_return,mean_step_reward,mean_q_value,mean_td_error,tasks_completed,deadline_hit_rate,overload_events,comp_reward,delay_penalty,deadline_penalty,overload_penalty,throughput_bonus,early_stopping_triggered
0,0.9997,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
1,0.9994000900000001,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
2,0.999100269973,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
3,0.9988005398920082,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
4,0.9985008997300406,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
5,0.9982013494601216,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
6,0.9979018890552837,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
7,0.9976025184885671,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
8,0.9973032377330205,32.35409918986441,32.35409918986441,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
9,0.9970040467617006,32.35409918986441,32.354099189864414,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
10,0.9967049455476722,32.35409918986441,32.354099189864414,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
11,0.9964059340640079,32.35409918986441,32.354099189864414,1.470640872266564,0.0,0.0,17,1.0,0,325.67134846982975,-2.2000000000000006,0.0,-1.4303565711857273,0.0,False
