Comparison,Metric,T-Statistic,P-Value,Cohen-d,Significant,Alpha-Corrected
RL vs Random,composite_score,6.130533482011796,5.26840410365245e-10,0.27416579208233716,True,0.01
RL vs Greedy,composite_score,-10.243571693593502,1.0,-0.4581064527853544,False,0.01
RL vs STF,composite_score,-7.934019365883803,0.9999999999999981,-0.3548201327383192,False,0.01
RL vs Skill,composite_score,-10.017054420340454,1.0,-0.44797629236392017,False,0.01
RL vs Hybrid,composite_score,-10.420428642551595,1.0,-0.46601573598862445,False,0.01
